ranking,name,nationality,side,points,ranking_diff,points_diff,date
1,Agustin Tapia,AR,Reves,21337,0,-72,2026-07-20
1,Arturo Coello,ES,Drive,21337,0,-72,2026-07-20
3,Alejandro Galan,ES,Reves,17394,0,-283,2026-07-20
3,Federico Chingotto,AR,Drive,17394,0,-283,2026-07-20
5,Juan Lebron,ES,Drive,8220,0,555,2026-07-20
6,Leo Augsburger,AR,Reves,7484,0,407,2026-07-20
7,Franco Stupaczuk,AR,Reves,6840,-1,0,2026-07-20
8,Miguel Yanguas,ES,Drive,6729,1,-205,2026-07-20
9,Francisco Navarro,ES,Reves,5779,-1,-25,2026-07-20
10,Jorge Nieto,ES,Reves,5574,1,-295,2026-07-20
11,Martin Di Nenno,AR,Drive,5144,-1,167,2026-07-20
12,Jon Sanz,ES,Drive,5054,1,-13,2026-07-20
13,Francisco Guerrero,ES,Drive,4592,0,83,2026-07-20
14,Momo Gonzalez,ES,Reves,4384,0,77,2026-07-20
15,Lucas Bergamini,BR,Drive,3509,0,-295,2026-07-20
16,Javier Leal,ES,Reves,3281,0,87,2026-07-20
17,Edu Alonso,ES,Drive,3269,-1,117,2026-07-20
18,Lucas Campagnolo,BR,Drive,3232,-1,128,2026-07-20
19,Javier Garrido,ES,Reves,3109,-1,32,2026-07-20
20,Juan Tello,AR,Reves,3061,3,-93,2026-07-20
21,Javier Garcia,ES,Reves,2541,-1,-3,2026-07-20
22,Alex Ruiz,ES,Drive,2497,1,-52,2026-07-20
23,Jairo Bautista,ES,Reves,2402,0,-7,2026-07-20
24,Javier Barahona,ES,Drive,2271,-1,-48,2026-07-20
25,Juanlu Esbri,ES,Reves,2255,-1,-45,2026-07-20
26,Maximiliano Arce,AR,Drive,2253,2,-90,2026-07-20
27,Alejandro Arroyo,ES,Reves,2224,0,-13,2026-07-20
28,Sanyo Gutierrez,AR,Drive,2136,-2,42,2026-07-20
29,Gonzalo Alfonso,AR,Reves,2101,-3,20,2026-07-20
30,David Gala,ES,Reves,2077,-1,-7,2026-07-20
